,IATA_CODE,AIRPORT,CITY,STATE,COUNTRY
0,ABE,Lehigh Valley International Airport,Allentown,PA,USA
1,ABI,Abilene Regional Airport,Abilene,TX,USA
2,ABQ,Albuquerque International Sunport,Albuquerque,NM,USA
3,ABR,Aberdeen Regional Airport,Aberdeen,SD,USA
4,ABY,Southwest Georgia Regional Airport,Albany,GA,USA
5,ACK,Nantucket Memorial Airport,Nantucket,MA,USA
6,ACT,Waco Regional Airport,Waco,TX,USA
7,ACV,Arcata Airport,Arcata/Eureka,CA,USA
8,ACY,Atlantic City International Airport,Atlantic City,NJ,USA
9,ADK,Adak Airport,Adak,AK,USA
10,ADQ,Kodiak Airport,Kodiak,AK,USA
11,AEX,Alexandria International Airport,Alexandria,LA,USA
12,AGS,Augusta Regional Airport (Bush Field),Augusta,GA,USA
13,AKN,King Salmon Airport,King Salmon,AK,USA
14,ALB,Albany International Airport,Albany,NY,USA
15,ALO,Waterloo Regional Airport,Waterloo,IA,USA
16,AMA,Rick Husband Amarillo International Airport,Amarillo,TX,USA
17,ANC,Ted Stevens Anchorage International Airport,Anchorage,AK,USA
18,APN,Alpena County Regional Airport,Alpena,MI,USA
19,ASE,Aspen-Pitkin County Airport,Aspen,CO,USA
20,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA
21,ATW,Appleton International Airport,Appleton,WI,USA
22,AUS,Austin-Bergstrom International Airport,Austin,TX,USA
23,AVL,Asheville Regional Airport,Asheville,NC,USA
24,AVP,Wilkes-Barre/Scranton International Airport,Wilkes-Barre/Scranton,PA,USA
25,AZO,Kalamazoo/Battle Creek International Airport,Kalamazoo,MI,USA
26,BDL,Bradley International Airport,Windsor Locks,CT,USA
27,BET,Bethel Airport,Bethel,AK,USA
28,BFL,Meadows Field,Bakersfield,CA,USA
29,BGM,Greater Binghamton Airport,Binghamton,NY,USA
30,BGR,Bangor International Airport,Bangor,ME,USA
31,BHM,Birmingham-Shuttlesworth International Airport,Birmingham,AL,USA
32,BIL,Billings Logan International Airport,Billings,MT,USA
33,BIS,Bismarck Municipal Airport,Bismarck,ND,USA
34,BJI,Bemidji Regional Airport,Bemidji,MN,USA
35,BLI,Bellingham International Airport,Bellingham,WA,USA
36,BMI,Central Illinois Regional Airport at Bloomington-Normal,Bloomington,IL,USA
37,BNA,Nashville International Airport,Nashville,TN,USA
38,BOI,Boise Airport (Boise Air Terminal),Boise,ID,USA
39,BOS,Gen. Edward Lawrence Logan International Airport,Boston,MA,USA
40,BPT,Jack Brooks Regional Airport (Southeast Texas Regional),Beaumont/Port Arthur,TX,USA
41,BQK,Brunswick Golden Isles Airport,Brunswick,GA,USA
42,BQN,Rafael Hernández Airport,Aguadilla,PR,USA
43,BRD,Brainerd Lakes Regional Airport,Brainerd,MN,USA
44,BRO,Brownsville/South Padre Island International Airport,Brownsville,TX,USA
45,BRW,Wiley Post-Will Rogers Memorial Airport,Barrow,AK,USA
46,BTM,Bert Mooney Airport,Butte,MT,USA
47,BTR,Baton Rouge Metropolitan Airport,Baton Rouge,LA,USA
48,BTV,Burlington International Airport,Burlington,VT,USA
49,BUF,Buffalo Niagara International Airport,Buffalo,NY,USA
50,BUR,Bob Hope Airport (Hollywood Burbank Airport),Burbank,CA,USA
51,BWI,Baltimore-Washington International Airport,Baltimore,MD,USA
52,BZN,Bozeman Yellowstone International Airport (Gallatin Field Airport),Bozeman,MT,USA
53,CAE,Columbia Metropolitan Airport,Columbia,SC,USA
54,CAK,Akron-Canton Regional Airport,Akron,OH,USA
55,CDC,Cedar City Regional Airport,Cedar City,UT,USA
56,CDV,Merle K. (Mudhole) Smith Airport,Cordova,AK,USA
57,CEC,Del Norte County Airport (Jack McNamara Field),Crescent City,CA,USA
58,CHA,Chattanooga Metropolitan Airport (Lovell Field),Chattanooga,TN,USA
59,CHO,Charlottesville-Albemarle Airport,Charlottesville,VA,USA
60,CHS,Charleston International Airport/Charleston AFB,Charleston,SC,USA
61,CID,The Eastern Iowa Airport,Cedar Rapids,IA,USA
62,CIU,Chippewa County International Airport,Sault Ste. Marie,MI,USA
63,CLD,McClellan-Palomar Airport,San Diego,CA,USA
64,CLE,Cleveland Hopkins International Airport,Cleveland,OH,USA
65,CLL,Easterwood Airport,College Station,TX,USA
66,CLT,Charlotte Douglas International Airport,Charlotte,NC,USA
67,CMH,Port Columbus International Airport,Columbus,OH,USA
68,CMI,University of Illinois - Willard Airport,Champaign/Urbana,IL,USA
69,CMX,Houghton County Memorial Airport,Hancock,MI,USA
70,CNY,Canyonlands Field,Moab,UT,USA
71,COD,Yellowstone Regional Airport,Cody,WY,USA
72,COS,City of Colorado Springs Municipal Airport,Colorado Springs,CO,USA
73,COU,Columbia Regional Airport,Columbia,MO,USA
74,CPR,Natrona County International Airport,Casper,WY,USA
75,CRP,Corpus Christi International Airport,Corpus Christi,TX,USA
76,CRW,Yeager Airport,Charleston,WV,USA
77,CSG,Columbus Metropolitan Airport,Columbus,GA,USA
78,CVG,Cincinnati/Northern Kentucky International Airport,Covington,KY,USA
79,CWA,Central Wisconsin Airport,Mosinee,WI,USA
80,DAB,Daytona Beach International Airport,Daytona Beach,FL,USA
81,DAL,Dallas Love Field,Dallas,TX,USA
82,DAY,James M. Cox Dayton International Airport,Dayton,OH,USA
83,DBQ,Dubuque Regional Airport,Dubuque,IA,USA
84,DCA,Ronald Reagan Washington National Airport,Arlington,VA,USA
85,DEN,Denver International Airport,Denver,CO,USA
86,DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,USA
87,DHN,Dothan Regional Airport,Dothan,AL,USA
88,DIK,Dickinson Theodore Roosevelt Regional Airport,Dickinson,ND,USA
89,DLG,Dillingham Airport,Dillingham,AK,USA
90,DLH,Duluth International Airport,Duluth,MN,USA
91,DRO,Durango-La Plata County Airport,Durango,CO,USA
92,DSM,Des Moines International Airport,Des Moines,IA,USA
93,DTW,Detroit Metropolitan Airport,Detroit,MI,USA
94,DVL,Devils Lake Regional Airport,Devils Lake,ND,USA
95,EAU,Chippewa Valley Regional Airport,Eau Claire,WI,USA
96,ECP,Northwest Florida Beaches International Airport,Panama City,FL,USA
97,EGE,Eagle County Regional Airport,Eagle,CO,USA
98,EKO,Elko Regional Airport,Elko,NV,USA
