,MONTH,DAY_OF_WEEK,HOUR,OP_CARRIER_AIRLINE_ID,ORIGIN,DEP_DELAY_GROUP,HUMIDITY,PRESSURE,TEMPERATURE,WIND_DIRECTION,WIND_SPEED,WEATHER_DESC,DELAYED
0,4,3,14,American Airlines Inc.: AA,PHL,-1,93.0,1011.0,283.19,43.0,1.0,mist,0
1,4,3,14,SkyWest Airlines Inc.: OO,PHX,-1,93.0,1011.0,283.19,43.0,1.0,mist,0
2,4,3,14,United Air Lines Inc.: UA,DEN,-1,93.0,1011.0,283.19,43.0,1.0,mist,0
7,11,3,6,Delta Air Lines Inc.: DL,LAS,-1,69.0,1015.0,274.97,30.0,2.0,sky is clear,0
8,11,3,6,American Airlines Inc.: AA,BOS,3,69.0,1015.0,274.97,30.0,2.0,sky is clear,1
9,11,3,6,Southwest Airlines Co.: WN,PHX,-1,69.0,1015.0,274.97,30.0,2.0,sky is clear,0
10,11,3,6,SkyWest Airlines Inc.: OO,MIA,-1,69.0,1015.0,274.97,30.0,2.0,sky is clear,0
11,5,6,9,American Airlines Inc.: AA,LAX,1,93.0,1024.0,283.618,191.0,1.0,moderate rain,1
12,5,6,9,American Airlines Inc.: AA,LAX,2,93.0,1024.0,283.618,191.0,1.0,moderate rain,1
13,5,6,9,ExpressJet Airlines LLC: EV,ATL,-1,93.0,1024.0,283.618,191.0,1.0,moderate rain,0
14,5,5,6,Southwest Airlines Co.: WN,PHX,-1,70.0,1024.0,290.87,280.0,1.0,few clouds,0
15,5,5,6,Southwest Airlines Co.: WN,DTW,0,70.0,1024.0,290.87,280.0,1.0,few clouds,0
16,7,5,7,Southwest Airlines Co.: WN,LAS,-1,82.0,1004.0,293.39,190.0,9.0,sky is clear,0
17,7,5,7,SkyWest Airlines Inc.: OO,PHX,1,82.0,1004.0,293.39,190.0,9.0,sky is clear,1
18,7,5,7,Delta Air Lines Inc.: DL,PDX,-1,82.0,1004.0,293.39,190.0,9.0,sky is clear,0
25,12,6,15,SkyWest Airlines Inc.: OO,IAH,3,100.0,1022.0,277.98,100.0,1.0,overcast clouds,1
